location,year,month,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_cases,new_cases,total_deaths,new_deaths,vaccine_types_used
Belgium,2021,2,2737343,11599840.0,6250667.0,20733707.0,61358.0,606413.0,985.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2021,3,5690342,29311697.0,13897952.0,25421637.0,110942.0,698886.0,939.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2021,4,15615535,67903883.0,21851456.0,28207302.0,107776.0,709354.0,1214.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2021,5,23062507,124669543.0,45902828.0,31954849.0,71772.0,764910.0,725.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2021,6,36966084,181250506.0,98708694.0,32292651.0,23130.0,752857.0,218.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2021,7,65509478,241090389.0,169527003.0,34201841.0,39584.0,781478.0,68.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2021,8,63253834,258648385.0,239125204.0,35802514.0,59949.0,784440.0,139.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2021,9,66215951,257054264.0,250536603.0,36463705.0,60290.0,764611.0,222.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2021,10,86362296,269814101.0,265073733.0,40032128.0,115696.0,799027.0,392.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2021,11,72635533,264569018.0,260293437.0,46113229.0,405385.0,793400.0,1021.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2021,12,103142339,276090901.0,272336560.0,60896408.0,339308.0,860115.0,1316.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
