"location","vaccine_types_used","death_rate"
"Czechia","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.01676578595292495238"
"United States","Johnson&Johnson, Moderna, Pfizer/BioNTech","0.01669869495011049411"
"Czechia","Moderna, Pfizer/BioNTech, Oxford/AstraZeneca","0.01664477041261835065"
"Latvia","Johnson&Johnson, Moderna, Pfizer/BioNTech, Oxford/AstraZeneca","0.01662801474912858178"
"Ireland","Pfizer/BioNTech, Johnson&Johnson, Moderna, Oxford/AstraZeneca","0.01662058991719935325"
"Lithuania","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01653053125942858212"
"Portugal","Johnson&Johnson, Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Oxford/AstraZeneca, Sinovac","0.01651061586516872912"
"Portugal","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac","0.01629441131849392146"
"Latvia","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01622785994540867434"
"Czechia","Moderna, Pfizer/BioNTech","0.01619785809032342302"
"Lithuania","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.01617822476262540990"
"Slovakia","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V","0.01607525251043779109"
"Lithuania","Moderna, Pfizer/BioNTech, Oxford/AstraZeneca","0.01605179264504567570"
"Slovenia","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01588127258007008418"
"Malta","Pfizer/BioNTech, Oxford/AstraZeneca, Moderna","0.01563195044776620477"
"Slovakia","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.01533938715934660889"
"Slovakia","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01525001499342879169"
"Austria","Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech","0.01500221147440965784"
"Lithuania","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01496685086365121209"
"Ireland","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01464125007254250554"
"Switzerland","Johnson&Johnson, Moderna, Pfizer/BioNTech","0.01442368982257964769"
"Lithuania","Pfizer/BioNTech, Moderna","0.01428293628870977282"
"Slovenia","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.01418771378609196240"
"Sweden","Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech","0.01418078147281815650"
"Malta","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.01379534856748214789"
"Slovakia","Johnson&Johnson, Moderna, Pfizer/BioNTech","0.01330963901325174148"
"Slovakia","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V","0.01306938762133995675"
"Malta","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01243972290558906247"
"Slovakia","Johnson&Johnson, Moderna, Pfizer/BioNTech, Sputnik V","0.01207833217998584167"
"Luxembourg","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.01203531185312783693"
"Luxembourg","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01174542499645077552"
"Slovakia","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01154216954193522203"
"Luxembourg","Pfizer/BioNTech, Moderna","0.01120052470926565929"
"Luxembourg","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01072859202775022870"
"Netherlands","Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech","0.00993216131773603641"
"Slovakia","Pfizer/BioNTech, Moderna","0.00948672737330288313"
"Estonia","Moderna, Pfizer/BioNTech, Oxford/AstraZeneca","0.00938366303863790454"
"Denmark","Moderna, Pfizer/BioNTech, Johnson&Johnson, Oxford/AstraZeneca","0.00936613034482244166"
"Finland","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.00927893767521867969"
"Estonia","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.00912560275029527312"
"Norway","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.00891495331990620220"
"Estonia","Pfizer/BioNTech, Moderna","0.00890085088835582120"
"Norway","Pfizer/BioNTech, Moderna, Oxford/AstraZeneca","0.00882571399443659613"
"Estonia","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.00878517672968360346"
"Estonia","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.00848528096228194752"
"Denmark","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.00782321408228357219"
"Cyprus","Pfizer/BioNTech, Moderna, Oxford/AstraZeneca","0.00667959071676522067"
"Cyprus","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.00593249259926508520"
"Cyprus","Pfizer/BioNTech, Moderna","0.00578522371201632296"
"Norway","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.00505327877804779901"
"Cyprus","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.00501999748910450706"
"Cyprus","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.00445877353986446643"
